mediaID	occid	url	originalUrl	thumbnailUrl
89587	38	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10121_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10121_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10121_C1_tn.jpg
66341	39	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10122_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10122_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10122_C1_tn.jpg
5564317	39	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010122_S00.JPG	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010122_S00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-010/DBG-F-010122_S00_tn.jpg
6594689	40	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010124.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010124_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010124_tn.jpg
89588	41	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10127_C00.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10127_C00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10127_C00_tn.jpg
89589	41	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10127_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10127_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10127_C1_tn.jpg
6594690	41	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010127.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010127_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010127_tn.jpg
89590	42	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C00.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C00_tn.jpg
89591	42	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C1_tn.jpg
89592	42	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C2.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C2_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10138_C2_tn.jpg
66345	43	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1014_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1014_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1014_C1_tn.jpg
6594031	43	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-001/DBG-F-001014.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-001/DBG-F-001014_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-001/DBG-F-001014_tn.jpg
6594691	44	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010148.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010148_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010148_tn.jpg
66344	45	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10149_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10149_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10149_C1_tn.jpg
5711555	45	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010149.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010149_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010149_tn.jpg
66347	46	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1015_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1015_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1015_C1_tn.jpg
66348	46	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1015_C2.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1015_C2_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1015_C2_tn.jpg
5568209	46	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001015_S00.JPG	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001015_S00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001015_S00_tn.jpg
89593	48	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10157_C00.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10157_C00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10157_C00_tn.jpg
89594	48	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10157_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10157_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00010/10157_C1_tn.jpg
6594692	48	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010157.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010157_lg.jpg	https://biocoll.inhs.illinois.edu/media/myco/DBG_DBG/DBG-F-010/DBG-F-010157_tn.jpg
66349	49	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C1_tn.jpg
66350	49	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C2.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C2_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C2_tn.jpg
66351	49	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C3.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C3_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C3_tn.jpg
66352	49	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C4.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C4_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1016_C4_tn.jpg
4644263	49	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001016_S00.JPG	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001016_S00_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/DBG-F-001/DBG-F-001016_S00_tn.jpg
66353	52	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1017_C1.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1017_C1_lg.jpg	https://biocoll.inhs.illinois.edu/media/idigbio/dbg/mycology/00001/1017_C1_tn.jpg
